NombreCompleto,DiasValidos,OutliersEliminados,NaNsDetectados,Cluster
BIR 10.0,1438,34,9,2
BIR 50.0,1450,22,9,5
BIR 75.0,1450,22,9,6
CBW 127.0,1050,42,3,6
CBW 207.0,1073,19,0,0
CBW 27.0,1051,41,2,2
CBW 67.0,1037,55,2,5
CMN 8.0,1022,51,47,4
GAT 132.0,1737,27,5,6
GAT 216.0,1745,19,5,0
GAT 30.0,1729,35,5,5
GAT 341.0,1751,13,5,0
GAT 60.0,1727,37,4,5
HEL 110.0,912,25,9,6
HPB 131.0,3251,45,24,1
HPB 50.0,1202,44,8,3
HPB 93.0,3254,42,22,1
HTM 150.0,2658,60,53,6
HTM 30.0,296,6,0,2
HTM 70.0,2652,66,59,5
IPR 100.0,2400,76,11,6
IPR 40.0,2405,71,14,5
IPR 60.0,2400,76,12,5
JFJ 13.9,1531,59,58,4
JUE 120.0,1719,83,37,6
JUE 50.0,1689,113,58,5
JUE 80.0,1690,112,58,6
KIT 100.0,2679,162,65,6
KIT 200.0,2699,142,64,0
KIT 30.0,972,72,35,5
KIT 60.0,2680,161,66,5
KRE 10.0,1596,118,102,2
KRE 125.0,1599,115,108,1
KRE 250.0,1597,117,113,0
KRE 50.0,1582,132,119,2
LIN 10.0,710,21,2,2
LIN 2.5,703,28,2,2
LIN 40.0,705,26,2,2
LIN 98.0,711,20,2,6
LMP 8.0,1603,97,96,2
LUT 60.0,2139,98,51,5
NOR 100.0,2728,7,2,6
NOR 32.0,2713,22,2,5
NOR 58.0,2722,13,2,5
OPE 10.0,2879,81,47,5
OPE 120.0,2886,74,49,6
OPE 50.0,2866,94,64,5
OXK 163.0,1734,94,90,1
OXK 23.0,1732,96,90,3
OXK 90.0,1734,94,90,1
PAL 12.0,2560,6,2,3
PRS 10.0,719,36,36,4
PUI 47.0,1399,17,12,5
PUI 84.0,1399,17,12,6
PUY 10.0,2913,40,35,3
RGL 45.0,1255,53,40,5
RGL 90.0,1282,27,18,6
SAC 100.0,2594,80,25,6
SAC 15.0,1587,81,23,5
SAC 60.0,1579,89,25,5
SMR 125.0,2815,27,17,6
SMR 16.8,2806,36,19,5
SMR 67.2,2814,28,17,5
SNO 20.0,1182,60,60,2
SNO 50.0,1183,59,59,5
SNO 85.0,1181,61,61,6
SSL 12.0,1076,103,90,3
SSL 35.0,1089,18,8,3
STE 127.0,1803,90,53,6
STE 187.0,1810,83,52,0
STE 252.0,1815,78,52,0
STE 32.0,1794,99,56,5
STE 82.0,243,2,1,6
SVB 150.0,802,14,12,6
SVB 35.0,801,15,11,5
SVB 85.0,802,14,12,6
TOH 10.0,2447,33,21,3
TOH 110.0,2442,38,30,1
TOH 147.0,2451,29,22,1
TOH 76.0,2449,31,22,3
TRN 100.0,2745,56,34,6
TRN 180.0,2899,68,41,0
TRN 5.0,2882,85,44,5
TRN 50.0,2905,62,33,5
UTO 57.0,2380,12,9,2
WAO 10.0,377,11,3,2
WES 14.0,1134,27,13,5
ZEP 15.0,1012,1,1,2
ZSF 3.0,1295,57,48,4
